Title,Location,Company,Salary,Summary
Bioinformatics Analyst,"Remote in Lexington, KY",University of Kentucky,"$51,491 - $84,950 a year",Basic bioinformatic skills are required.
Statistical Programmer (Remote),"Remote in Rochester, MN 55901",Mayo Clinic,None,"A minimum of a Bachelor's degree with a major in statistics, biostatistics, bioinformatics, mathematics, computer science, data science or quantitative degree…"
Bioinformatics Scientist,Remote,Seed,None,"Collaborate with the Director of Bioinformatics, the Microbiome Biostatistician, and the larger Discovery and RnD team to identify data analysis needs and…"
Front End Developer,Remote,Tanaq Management Services LLC,None,"Collaborate with current teams (e.g., HPC and security teams), developers, and bioinformaticians."
Public Health Informatics SME,Remote,Leidos,"$97,500 - $202,500 a year",This CDC OCIO Cloud Modernization program assists the CDC in migrating over 400 applications from on-premises to cloud solutions.
"Senior Genome Bioinformatics Analyst/Genome Bioinformatics Analyst, Remote Opportunity","Remote in Pittsburgh, PA 15213",UPMC,$30.06 - $50.63 an hour,"PhD in molecular biology, human genetics, bioinformatics, computational biology, or related field AND 2 years of relevant experience with high-scale genomic…"
Research Bioinformatician Bioinformatics & Computational Biology,"Remote in Houston, TX 77030",MD Anderson Cancer Center,None,"The primary purpose of the Research Bioinformatician position is to carry out data preparation responsibilities related to cancer clinical trials, develop…"
Principal Statistical Programmer (Office OR Remote),Remote,Arcus Biosciences,"$165,000 - $185,000 a year","In-depth knowledge in the analysis of clinical trial data, including integrated analysis of clinical trial data with other data types (biomarker, PK/PD, real…"
Biologist,"Remote in Gainesville, FL",US Geological Survey,"$69,107 - $107,680 a year","Knowledge of environmental DNA genetic laboratory instrumentation and DNA analysis protocols, including PCR and quantitative PCR and DNA sequencing is desirable…"
"Associate Director, Statistical Programming (Office OR Remote)",Remote,Arcus Biosciences,"$165,000 - $185,000 a year","In-depth knowledge in the analysis of clinical trial data, including integrated analysis of clinical trial data with other data types (biomarker, PK/PD, real…"
Back End Developer,Remote,Tanaq Management Services LLC,None,"Database design, analysis, implementation, and support."
Biostatistician III - Remote,Remote,CorEvitas,None,"Each query is a team effort that consists of this individual (biostatistician lead) who designs and leads the potentially complicated analysis, biostatistician…"
Senior Bioinformatics Engineer,Remote,Ginkgo Bioworks,"From $100,000 a year",Interface with software engineers to create and implement NGS data analysis pipelines for production use.
Principal Scientist - Computational Biology (US-REMOTE),"Remote in South San Francisco, CA",Amgen,None,Develop translational analysis methods to enable the analysis of NGS data/Epigenomics assays/single-cell assays from clinical trials.
Senior Machine Learning Engineer,Remote,CareMetx LLC,None,"This will require collaborating with clients to understand their business needs, identify the relevant data sources, and use exploratory data analysis to…"
"Senior Engineer, Software, Machine Learning","Remote in Menlo Park, CA",PacBio,None,Conduct data analysis and feature engineering to improve model performance.
Bioinformatics Engineer,"Remote in Somerville, MA 02144",Tufts University,None,"Key responsibilities include maintaining bioinformatics tools, developing `Omics workflows and curating reference data for the support of bioinformatics…"
Senior Statistician - Remote,"Remote in San Diego, CA",UC San Diego Health,"$75,000 - $120,000 a year","Incumbent is responsible for application of a broad range of statistical data analysis methods, including generalized linear and additive models, mixed effects…"
Technical Lead for Bioinformatics Verification and Validation,Remote,"Personalis, Inc",None,"You will join a team of bioinformatics engineers whose mission is to develop robust, high-performance pipelines that can accurately and reliably analyze large…"
Scientist I,"Remote in Gaithersburg, MD 20877",GeneDx,None,"MS in computer science, computer engineering, or computational biology field, with 4+ years relevant post-graduate experience in the BioTech industry."
